aerialway,0
aeroway,0
amenity,0
barrier,0
boundary,0
building,0
craft,0
emergency,0
geological,0
healthcare,0
highway,4
historic,0
landuse,7
leisure,0
man_made,0
military,0
natural,1
office,0
place,0
power,17
public Transport,0
railway,0
route,0
shop,0
sport,0
telecom,0
tourism,0
water,1
waterway,38
addr:housenumber,0
restrictions,0
other,0
n,76
m,132
k_avg,3.473684210526316
intersection_count,29
streets_per_node_avg,1.736842105263158
streets_per_node_counts_argmin,0
streets_per_node_counts_min,0.0
streets_per_node_counts_argmax,1
streets_per_node_counts_max,47.0
streets_per_node_proportion_argmin,0
streets_per_node_proportion_min,0.0
streets_per_node_proportion_argmax,1
streets_per_node_proportion_max,0.618421052631579
edge_length_total,58034.618000000024
edge_length_avg,439.65619696969713
street_length_total,29017.308999999994
street_length_avg,439.65619696969685
street_segments_count,66
node_density_km,76.0
intersection_density_km,29.0
edge_density_km,58034.618000000024
street_density_km,29017.308999999994
circuity_avg,1.0306823118874073
self_loop_proportion,0.0
clean_intersection_count,
clean_intersection_density_km,
