aerialway,0
aeroway,0
amenity,0
barrier,0
boundary,0
building,18
craft,0
emergency,0
geological,0
healthcare,0
highway,7
historic,0
landuse,18
leisure,0
man_made,0
military,0
natural,2
office,0
place,1
power,0
public Transport,0
railway,0
route,0
shop,0
sport,0
telecom,0
tourism,0
water,0
waterway,46
addr:housenumber,12
restrictions,0
other,0
n,120
m,254
k_avg,4.233333333333333
intersection_count,65
streets_per_node_avg,2.1
streets_per_node_counts_argmin,2
streets_per_node_counts_min,6.0
streets_per_node_counts_argmax,1
streets_per_node_counts_max,44.0
streets_per_node_proportion_argmin,2
streets_per_node_proportion_min,0.05
streets_per_node_proportion_argmax,1
streets_per_node_proportion_max,0.36666666666666664
edge_length_total,66782.57599999999
edge_length_avg,262.92352755905506
street_length_total,33391.288000000015
street_length_avg,262.92352755905523
street_segments_count,127
node_density_km,120.0
intersection_density_km,65.0
edge_density_km,66782.57599999999
street_density_km,33391.288000000015
circuity_avg,1.241801735369751
self_loop_proportion,0.015748031496062992
clean_intersection_count,
clean_intersection_density_km,
