aerialway,0
aeroway,0
amenity,2
barrier,4
boundary,1
building,119
craft,0
emergency,0
geological,0
healthcare,0
highway,63
historic,0
landuse,4
leisure,2
man_made,0
military,0
natural,5
office,0
place,0
power,0
public Transport,0
railway,0
route,0
shop,0
sport,0
telecom,0
tourism,37
water,1
waterway,0
addr:housenumber,63
restrictions,0
other,0
n,175
m,516
k_avg,5.897142857142857
intersection_count,140
streets_per_node_avg,2.9485714285714284
streets_per_node_counts_argmin,5
streets_per_node_counts_min,1.0
streets_per_node_counts_argmax,4
streets_per_node_counts_max,86.0
streets_per_node_proportion_argmin,5
streets_per_node_proportion_min,0.005714285714285714
streets_per_node_proportion_argmax,4
streets_per_node_proportion_max,0.49142857142857144
edge_length_total,92639.34800000007
edge_length_avg,179.5336201550389
street_length_total,46319.67399999997
street_length_avg,179.53362015503865
street_segments_count,258
node_density_km,175.0
intersection_density_km,140.0
edge_density_km,92639.34800000007
street_density_km,46319.67399999997
circuity_avg,1.4940326952800376
self_loop_proportion,0.0
clean_intersection_count,
clean_intersection_density_km,
