aerialway,0
aeroway,0
amenity,0
barrier,0
boundary,0
building,66
craft,0
emergency,0
geological,0
healthcare,0
highway,13
historic,1
landuse,54
leisure,0
man_made,0
military,0
natural,1
office,0
place,1
power,78
public Transport,0
railway,2
route,0
shop,0
sport,0
telecom,0
tourism,0
water,0
waterway,56
addr:housenumber,56
restrictions,0
other,0
n,166
m,268
k_avg,3.2289156626506026
intersection_count,53
streets_per_node_avg,1.6024096385542168
streets_per_node_counts_argmin,2
streets_per_node_counts_min,6.0
streets_per_node_counts_argmax,1
streets_per_node_counts_max,94.0
streets_per_node_proportion_argmin,2
streets_per_node_proportion_min,0.03614457831325301
streets_per_node_proportion_argmax,1
streets_per_node_proportion_max,0.5662650602409639
edge_length_total,70207.16399999992
edge_length_avg,261.967029850746
street_length_total,35103.58200000001
street_length_avg,261.9670298507463
street_segments_count,134
node_density_km,166.0
intersection_density_km,53.0
edge_density_km,70207.16399999992
street_density_km,35103.58200000001
circuity_avg,1.5876181360140817
self_loop_proportion,0.029850746268656716
clean_intersection_count,
clean_intersection_density_km,
