aerialway,0
aeroway,0
amenity,0
barrier,0
boundary,0
building,0
craft,0
emergency,0
geological,0
healthcare,0
highway,6
historic,0
landuse,13
leisure,0
man_made,0
military,0
natural,2
office,0
place,0
power,0
public Transport,0
railway,0
route,0
shop,0
sport,0
telecom,0
tourism,0
water,0
waterway,73
addr:housenumber,0
restrictions,0
other,0
n,118
m,264
k_avg,4.47457627118644
intersection_count,67
streets_per_node_avg,2.23728813559322
streets_per_node_counts_argmin,0
streets_per_node_counts_min,0.0
streets_per_node_counts_argmax,1
streets_per_node_counts_max,51.0
streets_per_node_proportion_argmin,0
streets_per_node_proportion_min,0.0
streets_per_node_proportion_argmax,1
streets_per_node_proportion_max,0.4322033898305085
edge_length_total,107309.95199999995
edge_length_avg,406.4770909090907
street_length_total,53654.97599999998
street_length_avg,406.47709090909075
street_segments_count,132
node_density_km,118.0
intersection_density_km,67.0
edge_density_km,107309.95199999995
street_density_km,53654.97599999998
circuity_avg,1.1522681700465567
self_loop_proportion,0.0
clean_intersection_count,
clean_intersection_density_km,
